Timestamp,Asset,Direction,Entry,TP,SL,Status,AI_Prob,PNL
2026-07-18 14:57:07,DOGE/USDT,LONG,0.0725,0.0733,0.0719,LOSS,50.98%,-10.00
2026-07-20 03:45:19,AVAX/USDT,SHORT,6.4110,6.3373,6.4601,LOSS,69.18%,-10.00
2026-07-20 05:41:42,AVAX/USDT,SHORT,6.4760,6.4016,6.5256,LOSS,52.51%,-10.00
2026-07-20 08:30:18,AVAX/USDT,SHORT,6.5820,6.4951,6.6399,LOSS,51.46%,-10.00
2026-07-20 10:43:09,AVAX/USDT,LONG,6.5230,6.6230,6.4564,LOSS,52.51%,-10.00
