Timestamp,Asset,Direction,Entry,TP,SL,Status,AI_Prob,PNL
2026-07-11 14:35:46,SOL/USDT,SHORT,77.9800,76.7907,78.5746,LOSS,45.33%,-7.63
2026-07-11 14:35:47,BNB/USDT,LONG,577.1700,583.0221,574.2439,PROFIT,45.89%,10.14
2026-07-11 15:37:19,BNB/USDT,LONG,582.6900,588.6386,579.7157,LOSS,45.89%,-5.10
2026-07-11 23:31:25,BNB/USDT,LONG,579.3300,585.4350,576.2775,LOSS,45.89%,-5.27
2026-07-11 23:35:14,SOL/USDT,SHORT,78.0000,76.7571,78.6214,PROFIT,35.19%,15.93
2026-07-12 00:07:19,BNB/USDT,LONG,575.9300,581.4671,573.1614,LOSS,45.89%,-4.81
2026-07-12 00:31:27,SOL/USDT,SHORT,76.9300,75.6507,77.5696,PROFIT,35.19%,16.63
2026-07-12 01:33:39,SOL/USDT,SHORT,75.9700,74.5557,76.6771,LOSS,38.00%,-9.31
2026-07-12 02:57:41,BNB/USDT,SHORT,571.5500,565.2650,574.6925,LOSS,45.89%,-5.50
2026-07-12 11:36:08,BNB/USDT,SHORT,574.4600,567.0950,578.1425,LOSS,45.89%,-6.41
2026-07-12 12:02:51,BNB/USDT,SHORT,578.3500,570.7729,582.1386,LOSS,45.89%,-6.55
2026-07-12 14:46:50,XRP/USDT,SHORT,1.0935,1.0777,1.1014,LOSS,47.06%,-7.20
2026-07-12 14:53:13,SOL/USDT,SHORT,76.6800,75.0793,77.4804,LOSS,50.25%,-10.44
2026-07-12 21:47:31,BNB/USDT,LONG,581.7600,590.6764,577.3018,LOSS,45.89%,-7.66
2026-07-12 22:20:12,BNB/USDT,LONG,576.7400,583.6850,573.2675,LOSS,45.89%,-6.02
2026-07-13 00:10:56,BNB/USDT,SHORT,574.4500,566.9521,578.1989,LOSS,45.89%,-6.53
2026-07-13 02:05:02,BNB/USDT,SHORT,579.2500,571.7071,583.0214,PROFIT,45.89%,13.02
2026-07-13 03:07:06,SOL/USDT,SHORT,77.5600,75.9786,78.3507,PROFIT,52.19%,20.39
2026-07-13 08:50:30,SOL/USDT,SHORT,75.9100,74.1400,76.7950,LOSS,36.71%,-11.66
2026-07-13 17:36:54,SOL/USDT,SHORT,76.6400,74.6793,77.6204,PROFIT,48.63%,25.58
2026-07-13 17:59:19,BNB/USDT,SHORT,571.8700,563.0586,576.2757,PROFIT,45.89%,15.41
